Sequence,Word,Meaning
1,theater,n. 电影院，戏院，剧场；戏剧；手术室
2,be,prep. 在，存在；是
3,and,conj. 和，与；而且；然后；就；但是
4,off,prep. 离开；脱落
5,a,art. 一；任一；每一
6,in,prep. 在…之内；从事于；按照（表示方式）
7,to-do,待办事项
8,have,vt. 有；让；从事；允许；拿
10,Italian,adj. 意大利的；意大利文化的；意大利语的
11,ice,n. 冰；冰淇淋；矜持；（俚）钻石；vt. 冰镇；结冰；vi. 结冰；adj. 冰的
12,thaw,vi. 融解；变暖和
13,for,prep. 为，为了；给；因为；对于；适合于；至于
14,you-all,你们大家
15,he/she,他她
16,withdraw,vt. 撤消；收回；撤退；拉开
17,on,adv. 向前地；继续着；作用中，行动中
18,do-it-yourself,自己动手
19,saying,n. 谚语；话；言论
20,thistle,n. [植]蓟
21,thick,n. 最拥挤部份；活动最多部份；事物的粗大浓密部份
22,at,prep. 在（表示存在或出现的地点、场所、位置、空间）；向；朝；因为；忙于；以（某种价格、速度等）
23,but,conj. 但是；然而；而是
24,weak,adj. 疲软的；虚弱的；无力的；不牢固的
25,his,pron. 他的
26,frond,n. [植]叶状体；（蕨类等的）叶，复叶
28,not,adv. 不（用于否定句）
29,nab,vt. 捉住，逮捕；抢夺
30,by,prep. 被；经由；在……之前；在附近；依据；通过
31,sheaf,n. 捆；束；扎
32,oral,adj. 口头的，口述的
33,as,conj. 因为；依照；当…时；随着；虽然
34,whatever,adj. 不管什么样的
35,goad,n. （赶牲口用的）刺棒；刺激；激励
36,theirs,pron. 他们的；她们的；它们的
37,can,n. 罐头，一罐；金属容器
38,whoa,哇
39,getaway,n. 逃走；起步
40,ignite,vt. 点燃；使燃烧；使激动
41,would-be,想要成为的
42,her,pron. 她的；她
43,all,adj. 全部的
44,myriad,adj. 无数的；种种的
45,make,vt. 制造；构成；使得；获得；引起；进行；布置，准备，整理；认为；安排；形成
46,about,prep. 关于；大约
47,know-how,技术
48,willful,adj. 有意的；任性的；故意的
49,up-front,前期
50,one,pron. 任何人；一个人
51,time-consuming,耗费时间的
52,thereafter,adv. 其后；从那时以后
53,year-end,年终
54,so-and-so,某某人
55,thinker,n. 思想家；思想者
56,whence,n. 根源
57,whichever,pron. 无论哪个；任何一个
58,thematic,adj. 题目的；[音]主题的，主旋律的；[语]语干的
59,somebody,n. 大人物；重要人物
60,meadow,n. 草地；牧场
61,pep,n. [美口]活力；锐气，劲头
62,take-out,外卖
63,out,adv. 在外；出现；出声地；不流行地；出局
64,intolerable,无法忍受的
65,just,adv. 正好，恰好；只是，仅仅；刚才，刚刚；实在；刚要
66,seed,n. 种子；萌芽；原由；根据；子孙；精液
67,himself,pron. 他自己；他亲自，他本人
68,yours,pron. 你们的，你的
69,come,vi. 来；出现；到达；变成；开始；发生
70,could,aux. 能够
71,now,adv. 现在；立刻；如今
72,thank,vt. 感谢
73,like,vt. 喜欢；愿意；想
74,other,adj. 其他的，另外的
75,how-to,指南
76,theologian,n. 神学者；空头理论家
77,itself,pron. 它本身；它自己
78,ours,pron. 我们的
79,two-bedroom,两个卧室
80,more,adv. 更多；更大程度地；此外
81,thesis,n. 论文；论点
82,want,vt. 需要；缺少；应该；希望
83,wayside,n. 路旁
84,look,vt. 看；期待；注意；面向；看上去像
85,first,adv. 第一；首先；优先；宁愿
86,also,adv. 也；同样；而且
87,newborn,adj. 新生的；再生的
88,because,conj. 因为
89,day,n. 一天；白昼；时期
90,used,adj. 习惯的；二手的，使用过的
91,no,adv. 不
92,man,n. 雇工；男人；人；人类；丈夫
93,find,vt. 发现；认为；感到；获得
94,hereafter,n. 来世；将来
95,think,vt. 想；认为；想像；想起；打算
96,giveaway,n. 泄漏；免费样品；不正当的交易；有奖问答节目
97,map,vt. 绘制地图；映射；计划；[生物]确定基因在染色体中的位置
98,well-being,幸福
99,only,adv. 只，仅仅；不料
100,thou,pron. 你；尔，汝（古时候的叫法）
101,teller,n. 讲述者；讲故事者；计票员；（美）出纳员
102,vessel,n. 容器，器皿；船，舰；脉管，血管
103,herald,n. 报信者；传令官；先驱
104,even,adj. 偶数的；相等的；平坦的
105,back,n. 背部；后面；靠背；足球等的后卫；书报等的末尾
106,any,adj. 任何的；所有的；丝毫
107,good,adj. 愉快的；好的；虔诚的；优良的
108,womanhood,女性气质
109,throughout,adv. 自始至终，到处；全部
110,US-led,以美国为首的
111,life-saving,拯救生命
112,child,n. 儿童，孩子；子孙；产物
113,work-related,工作相关
114,down,adv. 向下，下去；在下面
115,Mayan,n. 玛雅人；玛雅语
116,after,adv. 后来，以后
117,shoulder,n. 肩，肩膀；肩部
118,call,vi. 呼叫；拜访；叫牌
119,world-class,世界级
120,over,adv. 结束；越过；从头到尾
121,school-age,学龄前儿童
122,stillness,n. 静止；沉静
123,trying,adj. 难受的；费劲的；难堪的；令人厌烦的
124,last,n. 末尾，最后；上个；鞋楦（做鞋的模型）
125,ask,vt. 问，询问；邀请；要求；需要；讨价
126,need,n. 需要，要求；必要之物；缺乏
127,tool,n. 工具，用具；器械，机床；手段
128,feel,vt. 感觉；试探；触摸；认为
129,three-bedroom,三居室
130,state-of-the-art,最先进的
131,never-ending,永无止境
132,become,vi. 变成；变得；成为
133,between,prep. 在…之间
134,high,adj. 高的；高级的；高音调的；崇高的
135,realm,n. 领域，范围；王国
136,sometime,adv. 来日；改天；在某一时候
137,most,adv. 最；最多；非常，极其；几乎
138,another,adj. 另外的；不同的；又一，另一
139,much,adv. 非常，很
140,famine,n. 饥荒；饥饿，奇缺
141,own,vt. 拥有；承认
142,leave,vt. 离开；留下；委托；遗忘
143,putative,adj. 推定的，假定的
144,old,adj. 年老的；陈旧的，古老的
145,whilst,conj. 当…的时候；时时，有时；同时
146,mean,adj. 低劣的；平均的；卑鄙的
147,on-site,现场
148,keep,vt. 保持；遵守；经营；饲养
149,student-athlete,学生运动员
150,wick,n. 灯芯，蜡烛心
151,lethal,adj. 致命的，致死的
152,great,adj. 伟大的，重大的；极好的，好的；主要的
153,same-sex,同性
154,big,adj. 大的；重要的；量大的
155,group,n. 组；团体
156,begin,vt. 开始
157,seeming,n. 外观
158,country,n. 国家；故乡
159,help,vt. 帮助；治疗；促进；补救
160,talkative,adj. 多嘴的；爱说话的；多话的；饶舌的
161,whereabouts,下落
162,turn-of-the-century,世纪之交
163,problem-solving,解决问题
164,every,adj. 每一的，每个的；每隔…的
165,start-up,启动
166,hand,n. 手，手艺；指针；插手；帮助
167,might,n. 力量；势力；威力
168,American,n. 美国人
169,showcase,n. 陈列橱，陈列柜；显示优点的东西
170,part,n. 部分；角色；零件
171,against,prep. 反对，违反；靠；倚；防备
172,place,n. 地方；住所；座位
173,suck,vt. 吸吮；吸取
174,again,adv. 再一次；又，此外
175,fewer,adj. 较少的
176,case,n. 情况；实例；箱
177,mostly,adv. 主要地；多半地；通常
178,week-long,为期一周
179,company,n. 公司；陪伴，同伴；连队
180,systematic,adj. 有系统的；系统的；体系的；分类的
181,each,adj. 每；各自的
182,right,adj. 正确的；右方的；直接的
183,program,n. 程序；计划；大纲
184,hearing,n. 听力；审讯，听讯
185,question,n. 问题，疑问；询问；疑问句
186,dusk,n. 黄昏，薄暮；幽暗，昏暗
187,play,vt. 演奏；播放；游戏；扮演；同…比赛
188,governmental,adj. 政治的；统治上的；政府的
189,run-down,破败
190,small-business,小型企业
191,number,n. 号码；数字；数；算术；（杂志等的）期
192,always,adv. 总是；永远，一直；常常
193,move,n. 迁居；步骤；移动
194,nightclub,n. 夜总会
195,live,adj. 活的；实况转播的；精力充沛的；生动的
196,MRI,abbr. 核磁共振成像（Magnatic Resonance Imaging）；机读信息（Machine Readable Information）；中等度肾功能不全（Moderate Renal Insufficiency）
197,point,n. 要点；尖端；得分；标点
198,believe,vi. 信任；料想；笃信宗教
199,hold,vt. 持有；保存；拥有；拘留；约束或控制
200,toddler,n. 学步的小孩；幼童装
201,bring,vt. 带来；引起；促使；使某人处于某种情况或境地
202,happening,n. 事件；意外发生的事
203,next,adv. 其次；然后；下次
204,withstand,vt. 抵挡；反抗；禁得起
205,before,prep. 在…之前，先于
206,large,adj. 大的；广博的；多数的
